
=== Eye  (BEP ROAS 1.32) ===
"SHOPIFY MTD: pedidos 674 | ATC 2426 (12.3% de sesiones) | ingreso bruto 648,373 MXN | neto 463,278 MXN | AOV 687 MXN"
DESTINO https://alegrestiendamexico.com/pages/puremx -> CLARITY 3d: scroll 44.2% | quickback 33 | dead clicks 13 | rage 0
Nivel conciencia,Ad,Spend USD,Compras,ROAS,BEP,CTR %,CPC USD,CPM USD,Clicks,Link destino,Clarity scroll %,Clarity quickback,Clarity dead clicks,Shopify ATC (prod),Shopify pedidos (prod),Qué está pasando
"-- Problema (Problem-aware) --  (2 ads, $60, 2 compras, ROAS pond 1.14) => Marginal -> vigilar"
Problema (Problem-aware),otros 2 ads (<$100),60.09,2,1.14,1.32,,,,,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,cola larga del nivel -> Marginal -> vigilar
"-- Solucion (Solution-aware) --  (8 ads, $3,068, 208 compras, ROAS pond 2.7) => GANADOR -> escalar"
Solucion (Solution-aware),SO6 AD 37,1515.89,110,2.86,1.32,8.34,0.25,21.01,6019,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,GANADOR -> escalar
Solucion (Solution-aware),SO3 30.1,960.48,62,2.55,1.32,9.34,0.21,19.27,4653,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,"Cirugia-cancelada/ancestral, mejor escala del nivel | GANADOR -> escalar"
Solucion (Solution-aware),SO6 AD 4,305.1,17,2.42,1.32,7.5,0.33,24.67,928,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,"DMAE + autoridad medica, aguanta a escala | GANADOR -> escalar"
Solucion (Solution-aware),otros 5 ads (<$100),286.67,19,2.62,1.32,,,,,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,cola larga del nivel -> GANADOR -> escalar
"-- Producto (Product-aware) --  (5 ads, $877, 60 compras, ROAS pond 2.71) => GANADOR -> escalar"
Producto (Product-aware),PD2 AD 23,585.61,40,2.72,1.32,8.68,0.27,23.5,2164,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,"Producto directo, gran volumen rentable | GANADOR -> escalar"
Producto (Product-aware),otros 4 ads (<$100),291.24,20,2.68,1.32,,,,,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,cola larga del nivel -> GANADOR -> escalar
"-- Concepto in-house (cartoon) --  (2 ads, $204, 9 compras, ROAS pond 1.88) => GANADOR -> escalar"
Concepto in-house (cartoon),C6,152.3,6,1.73,1.32,7.93,0.33,26.53,455,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,GANADOR -> escalar
Concepto in-house (cartoon),otros 1 ads (<$100),51.41,3,2.34,1.32,,,,,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,cola larga del nivel -> GANADOR -> escalar
"-- Otros / sin tag --  (11 ads, $3,895, 229 compras, ROAS pond 2.33) => GANADOR -> escalar"
Otros / sin tag,3,2195.19,116,2.02,1.32,4.84,0.28,13.47,7894,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,GANADOR -> escalar
Otros / sin tag,10,515.45,52,4.23,1.32,6.81,0.27,18.31,1918,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,GANADOR -> escalar
Otros / sin tag,1,323.64,21,2.6,1.32,7.0,0.55,38.38,590,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,GANADOR -> escalar
Otros / sin tag,2,269.24,11,1.85,1.32,7.73,0.38,29.28,711,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,GANADOR -> escalar
Otros / sin tag,12,251.5,13,1.99,1.32,6.34,0.27,17.21,927,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,GANADOR -> escalar
Otros / sin tag,otros 6 ads (<$100),339.67,16,1.81,1.32,,,,,https://alegrestiendamexico.com/pages/puremx,44.2,33,13,2426,674,cola larga del nivel -> GANADOR -> escalar

=== Petclean  (BEP ROAS 1.48) ===
"SHOPIFY MTD: pedidos 177 | ATC 889 (8.3% de sesiones) | ingreso bruto 157,185 MXN | neto 116,172 MXN | AOV 656 MXN"
DESTINO https://alegrestiendamexico.com/pages/petcleanadv -> CLARITY 3d: scroll 42.8% | quickback 3 | dead clicks 6 | rage 0
Nivel conciencia,Ad,Spend USD,Compras,ROAS,BEP,CTR %,CPC USD,CPM USD,Clicks,Link destino,Clarity scroll %,Clarity quickback,Clarity dead clicks,Shopify ATC (prod),Shopify pedidos (prod),Qué está pasando
"-- Problema (Problem-aware) --  (1 ads, $27, 2 compras, ROAS pond 2.52) => GANADOR -> escalar"
Problema (Problem-aware),otros 1 ads (<$100),27.26,2,2.52,1.48,,,,,https://alegrestiendamexico.com/pages/petcleanadv,42.8,3,6,889,177,cola larga del nivel -> GANADOR -> escalar
"-- Solucion (Solution-aware) --  (5 ads, $658, 24 compras, ROAS pond 1.36) => Marginal -> vigilar"
Solucion (Solution-aware),SO7 AD 52,249.34,13,2.01,1.48,9.05,0.31,28.38,795,https://alegrestiendamexico.com/pages/petcleanadv,42.8,3,6,889,177,"Groomer/autoridad, segundo pilar rentable | GANADOR -> escalar"
Solucion (Solution-aware),SO2 AD 38,156.87,6,1.38,1.48,7.72,0.25,18.96,639,https://alegrestiendamexico.com/pages/petcleanadv,42.8,3,6,889,177,Marginal -> vigilar
Solucion (Solution-aware),SO8 AD 13,100.68,2,0.68,1.48,9.48,0.26,24.41,391,https://alegrestiendamexico.com/pages/petcleanadv,42.8,3,6,889,177,Ciencia profunda -> pierde | Malo -> apagar
Solucion (Solution-aware),otros 2 ads (<$100),150.79,3,0.73,1.48,,,,,https://alegrestiendamexico.com/pages/petcleanadv,42.8,3,6,889,177,cola larga del nivel -> Malo -> apagar
"-- Otros / sin tag --  (5 ads, $2,772, 133 compras, ROAS pond 1.82) => GANADOR -> escalar"
Otros / sin tag,8,2286.71,109,1.78,1.48,9.64,0.19,18.69,11796,https://alegrestiendamexico.com/pages/petcleanadv,42.8,3,6,889,177,GANADOR -> escalar
Otros / sin tag,1,366.91,18,2.03,1.48,10.24,0.19,19.45,1931,https://alegrestiendamexico.com/pages/petcleanadv,42.8,3,6,889,177,= SO5 UGC 'sin cepillo': 95% del gasto rentable cae aqui (RIESGO concentracion) | GANADOR -> escalar
Otros / sin tag,otros 3 ads (<$100),118.1,6,1.94,1.48,,,,,https://alegrestiendamexico.com/pages/petcleanadv,42.8,3,6,889,177,cola larga del nivel -> GANADOR -> escalar

=== Snore  (BEP ROAS 1.25) ===
"SHOPIFY MTD: pedidos 106 | ATC 512 (8.4% de sesiones) | ingreso bruto 107,417 MXN | neto 81,254 MXN | AOV 767 MXN"
DESTINO https://alegrestiendamexico.com/pages/snoremx -> CLARITY 3d: scroll 42.5% | quickback 5 | dead clicks 1 | rage 0
